Datum,count
Fri 00:01 UTC,1
Fri 00:02 UTC,1
Fri 00:03 UTC,1
Fri 00:07 UTC,1
Fri 00:10 UTC,1
Fri 00:12 UTC,1
Fri 00:17 UTC,2
Fri 00:18 UTC,2
Fri 00:20 UTC,1
Fri 00:21 UTC,1
Fri 00:23 UTC,2
Fri 00:27 UTC,1
Fri 00:29 UTC,1
Fri 00:31 UTC,1
Fri 00:38 UTC,1
Fri 00:40 UTC,1
Fri 00:43 UTC,1
Fri 00:45 UTC,2
Fri 00:50 UTC,1
Fri 00:51 UTC,1
Fri 00:53 UTC,1
Fri 00:56 UTC,1
Fri 01:00 UTC,1
Fri 01:02 UTC,2
Fri 01:03 UTC,1
Fri 01:04 UTC,1
Fri 01:07 UTC,1
Fri 01:10 UTC,1
Fri 01:12 UTC,1
Fri 01:18 UTC,1
Fri 01:20 UTC,2
Fri 01:21 UTC,1
Fri 01:26 UTC,1
Fri 01:27 UTC,1
Fri 01:29 UTC,1
Fri 01:31 UTC,1
Fri 01:34 UTC,1
Fri 01:37 UTC,1
Fri 01:41 UTC,1
Fri 01:42 UTC,1
Fri 01:43 UTC,1
Fri 01:44 UTC,1
Fri 01:45 UTC,1
Fri 01:49 UTC,1
Fri 01:50 UTC,1
Fri 01:55 UTC,1
Fri 01:59 UTC,2
Fri 02:00 UTC,2
Fri 02:08 UTC,1
Fri 02:11 UTC,2
Fri 02:14 UTC,1
Fri 02:17 UTC,1
Fri 02:20 UTC,1
Fri 02:21 UTC,2
Fri 02:27 UTC,2
Fri 02:28 UTC,2
Fri 02:30 UTC,4
Fri 02:32 UTC,1
Fri 02:33 UTC,2
Fri 02:34 UTC,1
Fri 02:36 UTC,1
Fri 02:37 UTC,1
Fri 02:44 UTC,2
Fri 02:54 UTC,1
Fri 02:56 UTC,2
Fri 02:59 UTC,1
Fri 03:00 UTC,2
Fri 03:01 UTC,1
Fri 03:10 UTC,2
Fri 03:12 UTC,1
Fri 03:15 UTC,1
Fri 03:20 UTC,1
Fri 03:22 UTC,1
Fri 03:23 UTC,2
Fri 03:24 UTC,2
Fri 03:30 UTC,1
Fri 03:31 UTC,2
Fri 03:34 UTC,1
Fri 03:38 UTC,1
Fri 03:41 UTC,1
Fri 03:47 UTC,1
Fri 03:49 UTC,1
Fri 03:50 UTC,1
Fri 03:51 UTC,2
Fri 03:54 UTC,2
Fri 03:57 UTC,2
Fri 03:58 UTC,1
Fri 03:59 UTC,2
Fri 04:00 UTC,1
Fri 04:02 UTC,1
Fri 04:04 UTC,1
Fri 04:07 UTC,1
